gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	transcript_ID
g10298.t1	49.96887684	-6.041679119	0.724019218	-8.344639161	7.14E-17	7.95E-15	22	72	5	0	50	37	76	0	0	3	1	179	4	126	sp	Q15485	FCN2_HUMAN	48.148	216	107	2	214	861	102	312	3.98E-62	202	Phel_contig_107
g10298.t1	49.96887684	-6.041679119	0.724019218	-8.344639161	7.14E-17	7.95E-15	22	72	5	0	50	37	76	0	0	3	1	179	4	126	sp	Q15485	FCN2_HUMAN	48.148	216	107	2	214	861	102	312	3.98E-62	202	Phel_contig_7739
g1030.t1	18.86493607	1.410853325	0.576787928	2.446052104	0.014443013	0.043168771	5	10	26	50	21	24	0	34	42	8	38	3	44	4	sp	Q8NBN7	RDH13_HUMAN	57.6	125	51	1	28	396	46	170	5.53E-31	117	Phel_contig_4830
g10320.t1	1270.875072	-3.117518412	0.465976517	-6.690290816	2.23E-11	9.10E-10	849	1536	510	180	800	1129	3157	420	350	205	249	2560	315	1686	sp	P00029	CYC_ASTRU	69.903	103	31	0	25	333	2	104	8.08E-52	161	Phel_contig_831
g1037.t1	496.6460671	-2.321068722	0.703653468	-3.298596293	0.000971695	0.004618156	154	86	124	113	763	589	230	110	59	207	637	379	145	2550	sp	O89114	DNJB5_MOUSE	54.598	348	155	2	1	1041	1	346	7.86E-120	352	Phel_contig_7287
g1040.t1	60.73228333	-2.53573318	0.833348484	-3.042824494	0.00234369	0.009669019	9	101	8	5	48	68	167	14	66	0	25	20	37	82	sp	Q06806	TIE1_MOUSE	50.909	220	101	3	2998	3645	830	1046	1.79E-60	230	Phel_contig_14362
g1040.t1	60.73228333	-2.53573318	0.833348484	-3.042824494	0.00234369	0.009669019	9	101	8	5	48	68	167	14	66	0	25	20	37	82	sp	Q06806	TIE1_MOUSE	35.379	277	152	9	580	1380	96	355	8.98E-38	158	Phel_contig_14362
g10414.t2	732.649618	-1.206985207	0.389337911	-3.100096785	0.001934574	0.008232155	694	483	708	371	315	711	904	470	430	574	526	877	735	1562	sp	Q32NH8	PLCD4_XENLA	41.965	753	402	15	79	2298	15	745	0	582	Phel_contig_4693
g10421.t1	821.3001726	-1.768615704	0.337724113	-5.236865348	1.63E-07	2.59E-06	642	1057	465	488	744	718	1438	656	456	316	345	1307	501	907	sp	Q6DD06	ZC3HF_XENLA	50.588	425	182	7	1	1245	1	407	3.80E-90	283	Phel_contig_2327
g10466.t1	909.2465054	-3.265469624	0.364544992	-8.957658712	3.32E-19	5.52E-17	337	1695	206	213	1120	1228	1636	220	166	168	169	1686	383	1332	sp	Q9BYK8	HELZ2_HUMAN	41.652	557	304	9	211	1848	2090	2636	5.68E-118	390	Phel_contig_1365
g10466.t1	909.2465054	-3.265469624	0.364544992	-8.957658712	3.32E-19	5.52E-17	337	1695	206	213	1120	1228	1636	220	166	168	169	1686	383	1332	sp	Q9BYK8	HELZ2_HUMAN	41.652	557	304	9	211	1848	2090	2636	5.68E-118	390	Phel_contig_3706
g10466.t1	909.2465054	-3.265469624	0.364544992	-8.957658712	3.32E-19	5.52E-17	337	1695	206	213	1120	1228	1636	220	166	168	169	1686	383	1332	sp	Q9BYK8	HELZ2_HUMAN	41.652	557	304	9	211	1848	2090	2636	5.68E-118	390	Phel_contig_6428
g10469.t1	741.6413913	-1.587090364	0.295691257	-5.367390237	7.99E-08	1.38E-06	446	1385	411	457	806	804	889	424	354	331	417	1358	939	658	sp	Q9BYK8	HELZ2_HUMAN	42.71	487	259	10	19	1443	2158	2636	1.30E-114	375	Phel_contig_1365
g10469.t1	741.6413913	-1.587090364	0.295691257	-5.367390237	7.99E-08	1.38E-06	446	1385	411	457	806	804	889	424	354	331	417	1358	939	658	sp	Q9BYK8	HELZ2_HUMAN	42.71	487	259	10	19	1443	2158	2636	1.30E-114	375	Phel_contig_3706
g10469.t1	741.6413913	-1.587090364	0.295691257	-5.367390237	7.99E-08	1.38E-06	446	1385	411	457	806	804	889	424	354	331	417	1358	939	658	sp	Q9BYK8	HELZ2_HUMAN	42.71	487	259	10	19	1443	2158	2636	1.30E-114	375	Phel_contig_6428
g10479.t1	593.3251926	-1.868219953	0.236488204	-7.899844134	2.79E-15	2.40E-13	525	845	362	292	887	527	719	332	272	265	310	981	363	816	sp	Q99615	DNJC7_HUMAN	56.463	441	192	0	46	1368	28	468	1.25E-160	468	Phel_contig_4592
g10524.t1	2790.442052	-1.381246177	0.399189167	-3.460129409	0.000539916	0.002812371	1298	1839	1477	1736	2175	2515	5072	1817	1509	2076	2549	4739	2180	3696	sp	Q9BY84	DUS16_HUMAN	55.319	282	121	2	157	999	24	301	2.86E-105	345	Phel_contig_129
g10545.t1	263.1105256	3.397553487	0.290190359	11.70801641	1.16E-31	7.99E-29	36	54	341	807	57	26	34	748	383	462	728	38	764	20	sp	Q9HCB6	SPON1_HUMAN	42.857	189	97	4	124	678	54	235	2.21E-62	147	Phel_contig_13213
g10545.t1	263.1105256	3.397553487	0.290190359	11.70801641	1.16E-31	7.99E-29	36	54	341	807	57	26	34	748	383	462	728	38	764	20	sp	Q9HCB6	SPON1_HUMAN	48.673	113	52	1	680	1000	258	370	2.21E-62	114	Phel_contig_13213
g10562.t1	609.6017496	-1.700179471	0.22024764	-7.719399278	1.17E-14	8.96E-13	474	536	397	296	1321	986	472	318	344	339	342	901	431	926	sp	P35223	CTNB_TRIGR	77.075	711	143	3	1	2073	1	711	0	1089	Phel_contig_7024
g10601.t1	31.63381358	1.666620601	0.521509825	3.195760695	0.001394627	0.006249872	9	10	52	111	21	4	9	21	57	105	14	25	44	13	sp	Q9Y6R7	FCGBP_HUMAN	26.183	317	212	9	139	1050	35	342	2.05E-21	103	Phel_contig_669
g10647.t1	408.3689135	-1.234769701	0.324490068	-3.80526193	0.000141654	0.000925863	302	359	323	303	231	432	333	356	295	243	224	1277	366	527	sp	A2VDP6	NXPE3_BOVIN	31.959	485	295	12	373	1806	101	557	2.26E-82	272	Phel_contig_3307
g10694.t1	17.70992878	2.8467696	0.470960982	6.04459756	1.50E-09	4.02E-08	7	5	19	38	8	0	2	64	39	28	33	3	55	1	sp	Q91090	PON2_MELGA	40.252	318	180	7	124	1062	42	354	8.11E-66	215	Phel_contig_9853
g10716.t1	8.475274351	-4.396213696	1.08237146	-4.061649683	4.87E-05	0.00037528	2	0	0	3	56	8	2	0	1	0	1	29	2	13	sp	Q15746	MYLK_HUMAN	59.669	181	72	1	67	606	1450	1630	6.51E-72	239	Phel_contig_18315
g10805.t1	4502.923261	2.898082335	0.397845798	7.284436212	3.23E-13	1.89E-11	1550	1388	7904	8418	367	1501	338	14771	6984	10158	9869	318	10809	838	sp	Q9UM22	EPDR1_HUMAN	44.886	176	93	2	124	648	41	213	3.87E-50	168	Phel_contig_5338
g10825.t2	99.7473531	-3.19710556	1.042358533	-3.06718414	0.002160857	0.009044143	17	0	15	15	735	94	16	17	87	0	15	201	12	155	sp	Q75J93	CPAS1_DICDI	27.057	547	328	11	427	2028	280	768	2.27E-51	195	Phel_contig_39
g10883.t1	266.0273197	4.409194032	0.500960724	8.801476477	1.35E-18	2.09E-16	48	43	432	641	10	10	14	722	687	428	667	8	883	3	sp	Q8R367	RERG_MOUSE	46.746	169	78	3	52	540	6	168	4.46E-42	144	Phel_contig_8892
g10905.t1	151.5987933	0.96987124	0.173359065	5.594580485	2.21E-08	4.40E-07	65	105	194	270	74	115	41	256	241	224	244	114	319	102	sp	Q6ZMW2	ZN782_HUMAN	34.711	242	138	6	613	1332	391	614	2.37E-29	128	Phel_contig_7186
g10905.t1	151.5987933	0.96987124	0.173359065	5.594580485	2.21E-08	4.40E-07	65	105	194	270	74	115	41	256	241	224	244	114	319	102	sp	Q6ZMW2	ZN782_HUMAN	32.636	239	139	6	613	1320	475	694	3.13E-25	115	Phel_contig_7186
g10926.t1	203.0030346	1.480002735	0.381720519	3.877189359	0.00010567	0.000719618	182	108	309	504	76	88	67	481	465	187	238	85	416	21	sp	Q9JME2	CHSTB_MOUSE	37.943	282	161	8	253	1092	81	350	3.31E-57	193	Phel_contig_12736
g10933.t1	179.0530108	-1.518622742	0.305341413	-4.973523664	6.57E-07	8.73E-06	197	159	102	87	186	165	272	120	107	151	74	244	162	226	sp	Q80XC3	US6NL_MOUSE	63.953	344	122	2	43	1074	13	354	5.90E-152	454	Phel_contig_15800
g11007.t1	911.380092	-1.18875534	0.278190845	-4.273164852	1.93E-05	0.000166041	994	1424	803	655	753	718	1094	769	683	535	588	1121	735	911	sp	Q9VZS3	ETIF1_DROME	51.376	109	48	2	22	336	3	110	5.09E-30	106	Phel_contig_264
g11076.t1	229.8287273	-1.885955444	0.408608409	-4.615557098	3.92E-06	4.22E-05	428	76	68	72	590	256	226	115	76	159	104	487	301	145	sp	Q9IBG7	KCP_XENLA	38.676	2040	1153	48	1279	7260	339	2326	0	1227	Phel_contig_531
g11076.t1	229.8287273	-1.885955444	0.408608409	-4.615557098	3.92E-06	4.22E-05	428	76	68	72	590	256	226	115	76	159	104	487	301	145	sp	Q9IBG7	KCP_XENLA	35.9	1688	991	40	397	5310	341	1987	0	876	Phel_contig_531
g11076.t1	229.8287273	-1.885955444	0.408608409	-4.615557098	3.92E-06	4.22E-05	428	76	68	72	590	256	226	115	76	159	104	487	301	145	sp	Q9IBG7	KCP_XENLA	34.8	1727	998	50	751	5748	341	2000	0	802	Phel_contig_531
g11087.t1	49.07140621	2.117994163	0.470526809	4.501325157	6.75E-06	6.72E-05	15	1	48	98	27	24	6	135	138	86	72	8	118	30	sp	P27169	PON1_HUMAN	35.423	319	197	3	124	1068	42	355	2.19E-56	191	Phel_contig_6367
g11153.t1	324.7881293	0.719279077	0.281412447	2.55596042	0.010589516	0.033755526	167	214	413	341	334	330	53	461	528	277	685	293	877	167	sp	Q29261	VILI_PIG	46.091	486	234	7	1	1422	358	827	1.11E-140	427	Phel_contig_1828
g11153.t1	324.7881293	0.719279077	0.281412447	2.55596042	0.010589516	0.033755526	167	214	413	341	334	330	53	461	528	277	685	293	877	167	sp	Q29261	VILI_PIG	30.4	375	230	11	142	1206	16	379	3.45E-34	140	Phel_contig_1828
g11234.t1	318.4619507	-3.040252955	0.527194295	-5.766854807	8.08E-09	1.77E-07	122	126	62	92	275	351	773	122	84	22	95	695	140	612	sp	Q07817	B2CL1_HUMAN	34.351	131	78	1	112	504	82	204	4.93E-21	90.1	Phel_contig_3774
g11249.t1	493.1877316	-1.699459929	0.266772742	-6.370440692	1.88E-10	6.23E-09	460	684	334	277	583	507	677	407	220	198	260	719	311	572	sp	Q9H0E2	TOLIP_HUMAN	47.855	303	119	6	1	888	1	271	7.61E-82	251	Phel_contig_2843
g11257.t1	660.7200713	-3.248291194	0.539186496	-6.024429799	1.70E-09	4.49E-08	119	1560	126	220	522	698	1379	333	121	82	57	1327	174	755	sp	P42694	HELZ_HUMAN	28.652	356	212	12	1420	2397	150	493	9.62E-32	137	Phel_contig_12057
g11257.t1	660.7200713	-3.248291194	0.539186496	-6.024429799	1.70E-09	4.49E-08	119	1560	126	220	522	698	1379	333	121	82	57	1327	174	755	sp	P42694	HELZ_HUMAN	28.652	356	212	12	1420	2397	150	493	9.62E-32	137	Phel_contig_5816
g11312.t1	751.3554559	-1.81780356	0.347031111	-5.238157345	1.62E-07	2.58E-06	988	1419	690	247	699	761	745	234	252	560	407	1299	385	844	sp	Q3ZBH0	TCPB_BOVIN	71.645	529	144	2	4	1575	6	533	0	754	Phel_contig_4057
g11365.t1	824.5774439	-1.691744873	0.679117753	-2.491092107	0.01273511	0.038997822	465	1135	338	521	605	739	914	587	769	1	365	1983	934	1381	sp	Q8BV79	TRNK1_MOUSE	38.395	1607	847	30	3040	7728	861	2368	0	928	Phel_contig_5957
g11365.t1	824.5774439	-1.691744873	0.679117753	-2.491092107	0.01273511	0.038997822	465	1135	338	521	605	739	914	587	769	1	365	1983	934	1381	sp	Q8BV79	TRNK1_MOUSE	31.276	243	158	3	1921	2637	433	670	1.73E-22	110	Phel_contig_5957
g1137.t1	34.24268535	1.380644607	0.36744021	3.757467389	0.000171642	0.001091882	20	25	42	34	23	15	5	51	63	114	40	13	82	14	sp	Q9Y5Q9	TF3C3_HUMAN	41.016	768	395	9	487	2652	125	880	0	609	Phel_contig_12972
g11390.t2	1651.922068	-2.558701016	0.569334945	-4.494192807	6.98E-06	6.92E-05	688	951	531	851	499	1052	4618	601	483	303	579	2225	894	3483	sp	A4IIW7	CDK14_XENTR	66.261	329	100	2	136	1122	83	400	2.92E-152	439	Phel_contig_4330
g11408.t1	730.5707708	-1.950981862	0.301222861	-6.476871832	9.36E-11	3.34E-09	563	701	268	429	777	828	1106	434	348	213	367	1709	614	867	sp	Q9H3S7	PTN23_HUMAN	45.81	358	180	5	3955	5019	1162	1508	1.14E-92	337	Phel_contig_9022
g11408.t1	730.5707708	-1.950981862	0.301222861	-6.476871832	9.36E-11	3.34E-09	563	701	268	429	777	828	1106	434	348	213	367	1709	614	867	sp	Q9H3S7	PTN23_HUMAN	42.917	240	130	2	94	798	473	710	1.36E-51	205	Phel_contig_9022
g11409.t1	91.15660697	-1.580034339	0.320124682	-4.935684219	7.99E-07	1.04E-05	78	54	45	58	98	116	129	61	46	68	34	207	89	98	sp	Q9H3S7	PTN23_HUMAN	54.926	406	181	2	1	1218	1	404	2.44E-147	459	Phel_contig_9022
g11420.t1	74.38005233	-4.676389906	0.686697386	-6.809971903	9.76E-12	4.32E-10	44	35	4	0	63	80	184	14	10	1	6	109	16	215	sp	Q13702	RAPSN_HUMAN	43.478	414	231	2	1	1239	1	412	2.50E-116	348	Phel_contig_8438
g11431.t1	65.13499334	2.7462961	0.365220161	7.519563256	5.50E-14	3.76E-12	8	6	179	171	24	25	11	160	112	60	119	8	190	18	sp	P55345	ANM2_HUMAN	48.756	402	201	4	172	1365	33	433	1.30E-140	412	Phel_contig_4935
g11431.t2	22.10986671	3.766148863	1.032441599	3.647808133	0.000264487	0.001566189	0	0	0	39	5	8	0	57	74	48	94	0	40	6	sp	P55345	ANM2_HUMAN	47.904	334	172	2	193	1191	101	433	1.29E-112	339	Phel_contig_4935
g1146.t1	459.046837	-2.144930237	0.413005978	-5.193460509	2.06E-07	3.18E-06	531	524	256	202	257	446	1063	239	156	157	157	526	318	443	sp	Q9BVH7	SIA7E_HUMAN	36.531	271	163	5	1129	1935	71	334	1.33E-51	186	Phel_contig_20276
g11558.t1	518.1863119	-1.653130492	0.263536961	-6.272860117	3.54E-10	1.11E-08	497	814	396	249	540	464	599	344	266	315	241	916	323	640	sp	Q8K268	ABCF3_MOUSE	62.179	624	231	2	4	1875	85	703	0	796	Phel_contig_9547
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.727	557	299	13	1	1566	187	719	6.85E-84	291	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.727	557	299	13	1	1566	187	719	6.85E-84	291	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.727	557	299	13	1	1566	187	719	6.85E-84	291	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.211	568	293	13	1	1551	1078	1621	1.61E-83	290	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.211	568	293	13	1	1551	1078	1621	1.61E-83	290	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.211	568	293	13	1	1551	1078	1621	1.61E-83	290	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.993	539	286	13	1	1512	319	833	1.78E-83	290	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.993	539	286	13	1	1512	319	833	1.78E-83	290	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.993	539	286	13	1	1512	319	833	1.78E-83	290	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	34.867	565	292	13	1	1536	1207	1748	1.28E-82	288	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	34.867	565	292	13	1	1536	1207	1748	1.28E-82	288	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	34.867	565	292	13	1	1536	1207	1748	1.28E-82	288	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.135	555	288	11	1	1512	947	1480	7.60E-82	285	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.135	555	288	11	1	1512	947	1480	7.60E-82	285	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.135	555	288	11	1	1512	947	1480	7.60E-82	285	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.112	581	281	16	22	1512	525	1093	9.63E-82	285	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.112	581	281	16	22	1512	525	1093	9.63E-82	285	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.112	581	281	16	22	1512	525	1093	9.63E-82	285	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.81	525	277	13	130	1530	78	600	9.70E-78	273	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.81	525	277	13	130	1530	78	600	9.70E-78	273	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	35.81	525	277	13	130	1530	78	600	9.70E-78	273	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	31.961	413	202	15	1	1122	1594	1966	3.59E-37	152	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	31.961	413	202	15	1	1122	1594	1966	3.59E-37	152	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	31.961	413	202	15	1	1122	1594	1966	3.59E-37	152	Phel_contig_2588
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	50	114	53	2	184	516	1879	1991	5.47E-22	105	Phel_contig_11488
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	50	114	53	2	184	516	1879	1991	5.47E-22	105	Phel_contig_1748
g11563.t1	27657.1372	1.531442314	0.381234554	4.017060618	5.89E-05	0.000442526	20691	13926	53112	44159	5642	20011	8328	34079	28179	79568	48461	11090	65675	4063	sp	Q9UGM3	DMBT1_HUMAN	50	114	53	2	184	516	1879	1991	5.47E-22	105	Phel_contig_2588
g11577.t1	143.8142459	-2.498517111	0.331952219	-7.526737192	5.20E-14	3.59E-12	106	72	50	50	294	313	118	75	50	38	39	242	79	326	sp	O55057	PDE6D_MOUSE	85.417	144	21	0	10	441	7	150	1.22E-91	265	Phel_contig_365
g11585.t1	546.375662	-1.36430035	0.256364203	-5.3217272	1.03E-07	1.72E-06	592	563	457	290	495	544	644	362	316	434	327	1058	426	598	sp	P46471	PRS7_MOUSE	90.553	434	40	1	1	1302	1	433	0	763	Phel_contig_6828
g11617.t1	1968.455451	-2.131363071	0.342773345	-6.217995369	5.04E-10	1.50E-08	2286	3524	910	731	1382	1603	3377	838	713	1088	905	2904	1114	2113	sp	Q60855	RIPK1_MOUSE	33.898	295	166	8	76	888	19	308	2.73E-39	157	Phel_contig_8681
g11624.t1	77.51653175	-0.978100514	0.38475439	-2.542142567	0.011017522	0.034858876	31	31	32	55	110	99	73	50	48	96	80	167	94	101	sp	P41743	KPCI_HUMAN	74.708	257	47	2	1	720	341	596	5.33E-136	398	Phel_contig_4793
g11647.t1	1095.105894	-1.95261645	0.467565054	-4.176138552	2.96E-05	0.000242883	1484	548	553	401	548	798	2079	895	754	402	465	1821	316	1867	sp	Q3ZBG9	PLS2_BOVIN	55.242	248	99	5	292	1035	53	288	1.55E-83	258	Phel_contig_1654
