gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P
g23664.t1	178.8713377	-0.797155629	0.215141127	-3.705268443	0.000211167	0.03516671	208	244	79	200	103	201	164	185	144	222	128	151	200	190	sp	A5D794	GAPD1_BOVIN	48.918	462	158	9	292	1533	982	1413	7.27e-130	413	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15835.t2	16.71974792	4.684173426	1.128601717	4.150422029	3.32e-05	0.009844399	0	7	0	0	90	64	0	0	0	0	12	36	32	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3275.t1	9.009904415	2.400042722	0.631652316	3.799626254	0.000144914	0.028073482	0	0	27	10	11	6	0	16	5	1	25	6	50	2	sp	D3ZVM4	LIN41_RAT	54.795	803	297	7	94	2316	57	855	0	860	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10969.t1	365.5937055	5.433864233	1.069882745	5.07893436	3.8e-07	0.000623162	5	11	5	19	4319	11	2	3	7	5	114	752	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23101.t1	20.2370349	-2.524441922	0.509264699	-4.957033005	7.16e-07	0.000849316	20	4	5	39	5	6	25	66	26	19	9	5	8	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1326.t1	1246.743024	6.035318434	1.095922615	5.507066238	3.65e-08	0.000173173	28	14	32	50	15268	31	1	6	21	2	254	2166	40	10	sp	Q94637	VIT6_OSCTI	21.079	1001	655	32	358	3231	110	1018	1.7e-31	139	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13916.t2	27.6007007	4.206549792	0.949684795	4.429416807	9.45e-06	0.004407417	32	38	59	0	49	55	4	0	0	0	11	82	61	12	sp	Q9UL03	INT6_HUMAN	51.856	943	380	14	1	2778	1	886	0	884	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20748.t1	79.85432082	3.181291049	0.865569635	3.675372749	0.000237502	0.036958877	5	7	0	3	604	197	3	7	11	0	15	248	29	22	sp	Q9GLY5	ITIH3_RABIT	31.481	918	561	24	241	2919	29	903	2.65e-122	397	NA	NA	NA	NA	NA	NA	NA	NA	NA
g16019.t1	548.0007122	3.289603491	0.785807757	4.186270064	2.84e-05	0.008972815	45	19	157	162	2439	1001	98	315	121	2	442	2507	1117	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9872.t1	335.1397215	-1.074647681	0.298012026	-3.606054747	0.000310888	0.043542565	157	160	419	1088	24	64	80	748	572	742	469	82	807	76	sp	Q07537	GALT1_BOVIN	38.462	507	296	8	232	1740	54	548	2.25e-121	373	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12334.t1	6.080867805	4.241698733	1.096046742	3.86999803	0.000108836	0.022199512	1	1	4	0	55	15	0	1	0	0	3	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22338.t1	366.7567766	2.696464285	0.705366199	3.822786359	0.000131952	0.026369585	63	96	21	70	3530	269	15	42	53	27	92	852	122	41	sp	P0C6B8	SVEP1_RAT	28.997	1007	591	24	1534	4269	437	1414	5.93e-111	393	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22338.t1	366.7567766	2.696464285	0.705366199	3.822786359	0.000131952	0.026369585	63	96	21	70	3530	269	15	42	53	27	92	852	122	41	sp	P0C6B8	SVEP1_RAT	37.846	325	181	5	3235	4161	1097	1416	4.65e-56	219	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21823.t1	59.24072363	5.142161834	1.128032618	4.558522292	5.15e-06	0.003099581	3	5	4	3	530	12	0	1	0	3	177	120	0	11	sp	Q9D7Z6	CLCA1_MOUSE	34.479	844	471	23	70	2562	23	797	3.08e-137	434	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14601.t1	43.31877733	7.010137326	1.546413929	4.533157129	5.81e-06	0.003244679	0	1	1	0	520	1	0	0	2	0	38	62	0	0	sp	P21836	ACES_MOUSE	36.348	575	317	16	160	1824	60	605	2.79e-108	342	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9311.t1	38.10438953	-3.48347851	0.833011438	-4.181789531	2.89e-05	0.009001493	4	20	12	45	0	0	23	33	172	134	39	0	50	34	sp	Q866N2	MYOC_RABIT	37.069	232	137	4	2305	2985	260	487	1.34e-32	136	NA	NA	NA	NA	NA	NA	NA	NA	NA
g4312.t1	641.9727104	-1.517393764	0.424144806	-3.577537064	0.000346847	0.046874259	340	548	312	891	144	331	1195	664	618	975	510	275	630	723	sp	Q8BSL4	HS3S5_MOUSE	27.152	302	176	9	223	1110	79	342	1.79e-26	111	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5221.t1	264.4412778	2.463532247	0.563282939	4.373525412	1.22e-05	0.004938362	79	33	228	226	219	838	26	103	106	224	196	1154	755	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g275.t1	572.6751604	-0.534838667	0.147239899	-3.632430277	0.000280764	0.041009873	631	532	443	777	570	506	505	652	605	505	454	494	661	575	sp	Q80Y55	BSDC1_MOUSE	49.048	210	97	4	46	651	9	216	3.2e-62	211	NA	NA	NA	NA	NA	NA	NA	NA	NA
g2626.t1	527.7816894	3.864470467	0.996698865	3.877269858	0.000105635	0.022038283	8	15	18	11	6440	39	3	3	6	8	111	604	6	215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5505.t1	539.1948764	-1.59119828	0.400910796	-3.968958424	7.22e-05	0.016511798	1030	842	97	54	251	420	1151	340	235	143	94	305	115	833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22337.t1	143.3445474	2.791016204	0.684242252	4.078988392	4.52e-05	0.012445382	22	29	15	12	1399	119	11	20	27	8	40	306	32	16	sp	P16581	LYAM2_HUMAN	30.462	325	197	9	925	1875	239	542	5.43e-27	120	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22337.t1	143.3445474	2.791016204	0.684242252	4.078988392	4.52e-05	0.012445382	22	29	15	12	1399	119	11	20	27	8	40	306	32	16	sp	P16581	LYAM2_HUMAN	29.48	346	210	14	922	1923	176	499	7.17e-23	107	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14316.t1	24.99222572	1.841476657	0.51735872	3.559380726	0.00037173	0.048671034	5	6	15	18	65	79	2	22	11	9	10	66	66	14	sp	P50532	SMC4_XENLA	51.736	1210	557	7	64	3627	74	1278	0	1058	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17510.t1	9.595028278	3.872997455	1.000323954	3.871743188	0.00010806	0.022199512	0	0	1	1	35	10	1	2	0	0	4	86	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20860.t1	114.3876968	2.917638878	0.77326989	3.773118434	0.00016122	0.029430348	15	17	15	8	62	492	25	12	12	6	0	897	103	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11097.t1	74.28775795	2.648919193	0.562336772	4.710556599	2.47e-06	0.001954199	15	12	25	23	270	186	6	46	15	18	40	376	80	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3465.t1	131.4926602	-6.112731836	1.347925649	-4.534917666	5.76e-06	0.003244679	145	159	0	591	0	0	84	782	0	79	2	30	0	103	sp	Q9TXQ1	TNKS1_CAEEL	32.081	692	406	24	1072	3021	102	771	2.1e-63	245	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3465.t1	131.4926602	-6.112731836	1.347925649	-4.534917666	5.76e-06	0.003244679	145	159	0	591	0	0	84	782	0	79	2	30	0	103	sp	Q9TXQ1	TNKS1_CAEEL	33.705	448	263	11	5851	7170	1786	2207	2.31e-57	225	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	30.344	1048	561	21	43	3000	2533	3473	2.51e-106	369	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	25.618	769	495	12	25	2241	1629	2350	1.22e-38	161	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	25.119	840	481	14	13	2277	1940	2716	8.05e-38	158	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	28.222	613	374	12	4	1770	2374	2944	1.46e-34	148	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	25.401	811	494	16	22	2238	1797	2568	1.14e-32	142	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	25.776	838	473	20	40	2277	1268	2048	7.48e-32	139	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	26.123	601	383	13	532	2280	1346	1903	3.75e-27	124	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23587.t1	8.560792928	2.370861981	0.662886932	3.576570706	0.000348131	0.046874259	0	5	15	2	38	14	1	9	2	1	5	21	15	2	sp	P62287	ASPM_COLGU	27.332	611	351	20	40	1773	2667	3217	6.58e-24	113	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	32.7	2052	1091	71	76	5547	80	2069	0	865	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	33.183	663	320	25	4675	6390	349	979	4.41e-67	256	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	28.52	831	449	29	4102	6396	90	841	4.19e-66	253	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	38.601	386	209	10	5488	6600	1774	2146	3.06e-48	195	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	31.746	504	244	18	4693	6018	554	1019	2.04e-47	192	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	33.493	418	221	11	4678	5787	611	1019	7.87e-46	187	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	35.294	340	191	8	1315	2310	1760	2078	1.95e-41	172	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	35.135	333	193	9	697	1656	1751	2073	5.29e-39	164	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	36.306	314	172	13	1111	1998	1768	2071	2.77e-33	145	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	33.138	341	200	10	1165	2133	1748	2078	4.04e-33	145	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	36.877	301	158	11	1855	2679	1786	2080	2.59e-29	132	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24131.t3	44.11114009	5.821616535	1.31477647	4.427837484	9.52e-06	0.004407417	0	0	0	18	270	55	0	4	39	27	50	132	95	0	sp	P10040	CRB_DROME	30.522	249	118	5	5677	6405	270	469	8.4e-22	108	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21166.t2	8.853456424	6.630821951	1.760678258	3.76606113	0.000165843	0.029727435	0	0	0	0	56	0	0	0	0	0	25	27	39	0	sp	Q0VG85	CC162_MOUSE	34.664	952	508	14	4117	6795	1	897	1.23e-137	459	NA	NA	NA	NA	NA	NA	NA	NA	NA
g18616.t1	27.09045828	3.10327727	0.868183869	3.574447051	0.000350969	0.046923543	1	2	9	9	242	6	6	1	1	0	9	86	12	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5989.t1	28.45799125	1.609807203	0.442759927	3.635846662	0.000277069	0.041009873	14	8	45	36	45	47	3	23	42	10	39	57	88	2	sp	Q9CPU4	MGST3_MOUSE	47.407	135	68	1	19	414	3	137	5.85e-31	111	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11068.t1	11.63961301	2.005867088	0.43083353	4.655782218	3.23e-06	0.002450986	3	8	13	7	26	29	0	6	2	4	15	25	36	8	sp	Q9NQS7	INCE_HUMAN	51.2	125	53	4	3148	3516	785	903	6.09e-24	113	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3867.t2	8.858295441	3.918892615	0.971021242	4.03584643	5.44e-05	0.013617126	0	0	13	0	18	25	0	5	9	2	24	32	9	0	sp	Q9PVK4	LDHBA_DANRE	64.407	236	84	0	19	726	6	241	2.16e-107	316	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9442.t2	23.35131973	5.659276907	1.272380875	4.447785266	8.68e-06	0.004233439	10	0	0	0	88	90	0	0	0	0	28	104	32	0	sp	Q9BY12	SCAPE_HUMAN	41.227	1499	715	35	286	4632	12	1394	0	809	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10994.t1	9.466577484	3.927674686	1.056891445	3.716251754	0.0002022	0.033971409	0	0	1	0	59	9	2	0	3	0	11	49	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23106.t1	209.4077083	-1.963451361	0.46628502	-4.210839456	2.54e-05	0.008474088	118	54	21	388	49	75	211	769	339	357	149	94	181	229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23109.t1	320.3531253	-1.830309169	0.396288585	-4.61862703	3.86e-06	0.002561441	203	158	78	459	69	110	401	1021	468	528	306	124	295	285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12612.t2	42.59603802	3.121869983	0.773879024	4.034054274	5.48e-05	0.013617126	2	2	37	23	30	68	0	27	29	18	25	323	86	7	sp	E1C3U7	LOXL2_CHICK	35.209	764	407	16	97	2331	53	747	9.09e-149	457	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23715.t1	70.62802616	4.133999362	1.106849651	3.734924033	0.000187772	0.031829007	3	0	0	1	701	23	2	0	1	0	1	277	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1053.t1	28.99819035	1.933268856	0.433695976	4.457659201	8.29e-06	0.004233439	5	6	50	18	76	51	5	14	28	4	38	55	80	20	sp	Q09LZ8	CBPC6_MOUSE	70.67	433	127	0	49	1347	20	452	0	684	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6700.t1	5765.846097	-1.500636058	0.305200976	-4.916878314	8.79e-07	0.00091428	11633	7345	1257	2747	2055	3594	10676	4122	2323	3733	1791	5795	1854	7981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3730.t1	263.3183657	-0.676724078	0.139572313	-4.848555293	1.24e-06	0.001180524	274	292	241	351	197	208	154	482	340	258	212	206	307	248	sp	Q9D8T7	SLIRP_MOUSE	48.81	84	43	0	40	291	22	105	4.97e-24	91.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8208.t1	118.5842038	2.856472952	0.792587444	3.603984614	0.000313376	0.043542565	4	8	36	17	1021	130	6	4	25	8	60	307	6	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12253.t1	66.63811576	2.930339801	0.716242321	4.091268718	4.29e-05	0.012156624	3	2	19	24	564	73	8	16	13	6	56	140	26	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6273.t1	32.86078812	-4.450191757	1.235035197	-3.603291443	0.000314213	0.043542565	2	0	5	190	2	0	82	1	119	12	1	5	5	1	sp	Q9QXP4	DONS_MOUSE	32.639	576	294	15	28	1716	9	503	1.84e-78	262	NA	NA	NA	NA	NA	NA	NA	NA	NA
