gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2.x	uniprotID	geneID	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P	V2.y	V3	V4	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
g21577.t1	152.9184477	-1.277386357	0.312984375	-4.081310316	4.48e-05	0.012445382	267	154	41	97	186	97	139	85	86	210	52	105	77	336	sp	Q9YHT4	HEM0_DANRE	53.819	576	237	9	16	1680	5	572	0	600	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEM0_DANRE	reviewed	5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)	alas2 alas-e	Danio rerio (Zebrafish) (Brachydanio rerio)	583	embryonic hemopoiesis [GO:0035162]; erythrocyte development [GO:0048821]; erythrocyte differentiation [GO:0030218]; heme biosynthetic process [GO:0006783]; hemoglobin biosynthetic process [GO:0042541]; hemoglobin metabolic process [GO:0020027]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to hypoxia [GO:0001666]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]; embryonic hemopoiesis [GO:0035162]; erythrocyte development [GO:0048821]; erythrocyte differentiation [GO:0030218]; heme biosynthetic process [GO:0006783]; hemoglobin biosynthetic process [GO:0042541]; hemoglobin metabolic process [GO:0020027]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to hypoxia [GO:0001666]	GO:0001666; GO:0003870; GO:0005739; GO:0005743; GO:0005759; GO:0006782; GO:0006783; GO:0020027; GO:0030170; GO:0030218; GO:0035162; GO:0042541; GO:0048821
g23422.t1	225.1904738	4.077037479	1.072628078	3.800979632	0.000144125	0.028073482	16	13	6	12	2642	16	4	3	23	0	23	458	19	2	sp	Q761V0	SC6A5_MOUSE	49.068	644	286	6	4	1929	167	770	0	618	NA	NA	NA	NA	NA	NA	NA	NA	NA	SC6A5_MOUSE	reviewed	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	Slc6a5 Glyt2	Mus musculus (Mouse)	799	glycine import [GO:0036233]; synaptic transmission, glycinergic [GO:0060012]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872]; neurotransmitter:sodium symporter activity [GO:0005328]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872]; neurotransmitter:sodium symporter activity [GO:0005328]; glycine import [GO:0036233]; synaptic transmission, glycinergic [GO:0060012]	GO:0005328; GO:0005886; GO:0005887; GO:0015375; GO:0036233; GO:0046872; GO:0060012
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	28.444	559	253	24	934	2562	1122	1549	6.17e-27	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	26.685	371	173	13	937	2037	1281	1556	2.08e-21	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	48	25	13	0	762	836	1247	1271	2.08e-21	30.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15722.t1	665.9501702	4.421571081	0.87440916	5.056638565	4.27e-07	0.000623162	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56	sp	P0DSP1	SORL_RAT	25.989	531	222	17	1147	2664	1122	1506	5.46e-21	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12819.t1	105.5514823	2.58873038	0.690691283	3.74802816	0.00017823	0.03076092	5	9	15	1	799	196	54	4	8	1	26	205	23	87	sp	P79739	CP26A_DANRE	42.457	464	250	6	109	1461	28	487	5.48e-125	377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20946.t1	21.71336547	3.869570105	1.049171032	3.688216684	0.000225831	0.036028632	3	2	5	11	154	2	0	11	3	0	71	58	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14541.t1	211.1764667	1.597871039	0.387143688	4.127333306	3.67e-05	0.010719056	24	20	275	475	155	105	18	337	115	134	1009	161	741	39	sp	Q99K85	SERC_MOUSE	59.452	365	145	1	10	1095	5	369	4.16e-171	484	NA	NA	NA	NA	NA	NA	NA	NA	NA	SERC_MOUSE	reviewed	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Endometrial progesterone-induced protein) (EPIP) (Phosphohydroxythreonine aminotransferase)	Psat1 Psa Psat	Mus musculus (Mouse)	370	L-serine biosynthetic process [GO:0006564]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; L-serine biosynthetic process [GO:0006564]	GO:0004648; GO:0005737; GO:0005829; GO:0006564; GO:0070062
g13972.t1	59.76992726	6.68329005	1.262078166	5.295464441	1.19e-07	0.00032197	0	25	109	0	323	170	0	0	0	0	78	143	29	0	sp	P70170	ABCC9_MOUSE	37.157	1604	905	27	43	4731	5	1546	0	951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23708.t1	31.85950907	1.626587674	0.445151471	3.654009432	0.000258177	0.038900683	16	22	55	7	103	55	8	12	37	7	35	61	38	10	sp	Q5UR46	YR571_MIMIV	36.316	190	111	4	175	738	15	196	4.17e-22	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	YR571_MIMIV	reviewed	Uncharacterized protein R571 (EC 3.1.1.-)	MIMI_R571	Acanthamoeba polyphaga mimivirus (APMV)	297	lipid catabolic process [GO:0016042]	integral component of membrane [GO:0016021]	hydrolase activity [GO:0016787]	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]; lipid catabolic process [GO:0016042]	GO:0016021; GO:0016042; GO:0016787
g15371.t1	8048.224314	-1.128983538	0.244367676	-4.62001995	3.84e-06	0.002561441	7066	4701	6536	12089	2362	2970	4326	17535	12209	24068	8884	4528	9794	3838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g2005.t1	1028.943625	-2.218218997	0.611767598	-3.625917755	0.000287937	0.041728884	4955	257	252	470	113	619	712	336	1327	460	329	254	165	2365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23749.t1	6.61990144	3.042657129	0.837647589	3.632383318	0.000280816	0.041009873	0	2	1	1	46	6	1	3	2	0	10	16	11	1	sp	P53413	LMX1B_CHICK	57.312	253	81	3	7	684	28	280	3.69e-91	282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23664.t1	178.8713377	-0.797155629	0.215141127	-3.705268443	0.000211167	0.03516671	208	244	79	200	103	201	164	185	144	222	128	151	200	190	sp	A5D794	GAPD1_BOVIN	48.918	462	158	9	292	1533	982	1413	7.27e-130	413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15835.t2	16.71974792	4.684173426	1.128601717	4.150422029	3.32e-05	0.009844399	0	7	0	0	90	64	0	0	0	0	12	36	32	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3275.t1	9.009904415	2.400042722	0.631652316	3.799626254	0.000144914	0.028073482	0	0	27	10	11	6	0	16	5	1	25	6	50	2	sp	D3ZVM4	LIN41_RAT	54.795	803	297	7	94	2316	57	855	0	860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10969.t1	365.5937055	5.433864233	1.069882745	5.07893436	3.8e-07	0.000623162	5	11	5	19	4319	11	2	3	7	5	114	752	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23101.t1	20.2370349	-2.524441922	0.509264699	-4.957033005	7.16e-07	0.000849316	20	4	5	39	5	6	25	66	26	19	9	5	8	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1326.t1	1246.743024	6.035318434	1.095922615	5.507066238	3.65e-08	0.000173173	28	14	32	50	15268	31	1	6	21	2	254	2166	40	10	sp	Q94637	VIT6_OSCTI	21.079	1001	655	32	358	3231	110	1018	1.7e-31	139	NA	NA	NA	NA	NA	NA	NA	NA	NA	VIT6_OSCTI	reviewed	Vitellogenin-6 (OTI-VIT-6) [Cleaved into: VT3; VT2]	vit-6	Oscheius tipulae	1648		extracellular region [GO:0005576]	lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]	extracellular region [GO:0005576]; lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]	GO:0005319; GO:0005576; GO:0045735
g13916.t2	27.6007007	4.206549792	0.949684795	4.429416807	9.45e-06	0.004407417	32	38	59	0	49	55	4	0	0	0	11	82	61	12	sp	Q9UL03	INT6_HUMAN	51.856	943	380	14	1	2778	1	886	0	884	NA	NA	NA	NA	NA	NA	NA	NA	NA	INT6_HUMAN	reviewed	Integrator complex subunit 6 (Int6) (DBI-1) (Protein DDX26) (Protein deleted in cancer 1) (DICE1)	INTS6 DBI1 DDX26 DDX26A	Homo sapiens (Human)	887	snRNA processing [GO:0016180]; snRNA transcription from RNA polymerase II promoter [GO:0042795]	actin cytoskeleton [GO:0015629]; integrator complex [GO:0032039]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	transmembrane signaling receptor activity [GO:0004888]	actin cytoskeleton [GO:0015629]; integrator complex [GO:0032039]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transmembrane signaling receptor activity [GO:0004888]; snRNA processing [GO:0016180]; snRNA transcription from RNA polymerase II promoter [GO:0042795]	GO:0004888; GO:0005634; GO:0005654; GO:0015629; GO:0016180; GO:0032039; GO:0042795
g20748.t1	79.85432082	3.181291049	0.865569635	3.675372749	0.000237502	0.036958877	5	7	0	3	604	197	3	7	11	0	15	248	29	22	sp	Q9GLY5	ITIH3_RABIT	31.481	918	561	24	241	2919	29	903	2.65e-122	397	NA	NA	NA	NA	NA	NA	NA	NA	NA	ITIH3_RABIT	reviewed	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3)	ITIH3	Oryctolagus cuniculus (Rabbit)	903	hyaluronan metabolic process [GO:0030212]	extracellular region [GO:0005576]	serine-type endopeptidase inhibitor activity [GO:0004867]	extracellular region [GO:0005576]; serine-type endopeptidase inhibitor activity [GO:0004867]; hyaluronan metabolic process [GO:0030212]	GO:0004867; GO:0005576; GO:0030212
g16019.t1	548.0007122	3.289603491	0.785807757	4.186270064	2.84e-05	0.008972815	45	19	157	162	2439	1001	98	315	121	2	442	2507	1117	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9872.t1	335.1397215	-1.074647681	0.298012026	-3.606054747	0.000310888	0.043542565	157	160	419	1088	24	64	80	748	572	742	469	82	807	76	sp	Q07537	GALT1_BOVIN	38.462	507	296	8	232	1740	54	548	2.25e-121	373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12334.t1	6.080867805	4.241698733	1.096046742	3.86999803	0.000108836	0.022199512	1	1	4	0	55	15	0	1	0	0	3	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22338.t1	366.7567766	2.696464285	0.705366199	3.822786359	0.000131952	0.026369585	63	96	21	70	3530	269	15	42	53	27	92	852	122	41	sp	P0C6B8	SVEP1_RAT	28.997	1007	591	24	1534	4269	437	1414	5.93e-111	393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22338.t1	366.7567766	2.696464285	0.705366199	3.822786359	0.000131952	0.026369585	63	96	21	70	3530	269	15	42	53	27	92	852	122	41	sp	P0C6B8	SVEP1_RAT	37.846	325	181	5	3235	4161	1097	1416	4.65e-56	219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21823.t1	59.24072363	5.142161834	1.128032618	4.558522292	5.15e-06	0.003099581	3	5	4	3	530	12	0	1	0	3	177	120	0	11	sp	Q9D7Z6	CLCA1_MOUSE	34.479	844	471	23	70	2562	23	797	3.08e-137	434	NA	NA	NA	NA	NA	NA	NA	NA	NA	CLCA1_MOUSE	reviewed	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 3) (mCLCA3) (Protein gob-5)	Clca1 Clca3 Gob5	Mus musculus (Mouse)	913	calcium ion transport [GO:0006816]; cellular response to hypoxia [GO:0071456]; chloride transmembrane transport [GO:1902476]; chloride transport [GO:0006821]	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; secretory granule [GO:0030141]; zymogen granule membrane [GO:0042589]	chloride channel activity [GO:0005254]; intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; secretory granule [GO:0030141]; zymogen granule membrane [GO:0042589]; chloride channel activity [GO:0005254]; intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; calcium ion transport [GO:0006816]; cellular response to hypoxia [GO:0071456]; chloride transmembrane transport [GO:1902476]; chloride transport [GO:0006821]	GO:0005229; GO:0005254; GO:0005615; GO:0005887; GO:0005902; GO:0006816; GO:0006821; GO:0008237; GO:0016021; GO:0030141; GO:0042589; GO:0046872; GO:0071456; GO:1902476
g14601.t1	43.31877733	7.010137326	1.546413929	4.533157129	5.81e-06	0.003244679	0	1	1	0	520	1	0	0	2	0	38	62	0	0	sp	P21836	ACES_MOUSE	36.348	575	317	16	160	1824	60	605	2.79e-108	342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9311.t1	38.10438953	-3.48347851	0.833011438	-4.181789531	2.89e-05	0.009001493	4	20	12	45	0	0	23	33	172	134	39	0	50	34	sp	Q866N2	MYOC_RABIT	37.069	232	137	4	2305	2985	260	487	1.34e-32	136	NA	NA	NA	NA	NA	NA	NA	NA	NA	MYOC_RABIT	reviewed	Myocilin (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	MYOC TIGR	Oryctolagus cuniculus (Rabbit)	490	bone development [GO:0060348]; clustering of voltage-gated sodium channels [GO:0045162]; ERBB2-ERBB3 signaling pathway [GO:0038133]; myelination in peripheral nervous system [GO:0022011]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; neuron projection development [GO:0031175]; non-canonical Wnt signaling pathway via JNK cascade [GO:0038031]; osteoblast differentiation [GO:0001649]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; regulation of MAPK cascade [GO:0043408]; skeletal muscle hypertrophy [GO:0014734]; visual perception [GO:0007601]	cilium [GO:0005929]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; node of Ranvier [GO:0033268]; proteinaceous extracellular matrix [GO:0005578]; rough endoplasmic reticulum [GO:0005791]	fibronectin binding [GO:0001968]; frizzled binding [GO:0005109]; metal ion binding [GO:0046872]; myosin light chain binding [GO:0032027]; receptor tyrosine kinase binding [GO:0030971]	cilium [GO:0005929]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; node of Ranvier [GO:0033268]; proteinaceous extracellular matrix [GO:0005578]; rough endoplasmic reticulum [GO:0005791]; fibronectin binding [GO:0001968]; frizzled binding [GO:0005109]; metal ion binding [GO:0046872]; myosin light chain binding [GO:0032027]; receptor tyrosine kinase binding [GO:0030971]; bone development [GO:0060348]; clustering of voltage-gated sodium channels [GO:0045162]; ERBB2-ERBB3 signaling pathway [GO:0038133]; myelination in peripheral nervous system [GO:0022011]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; neuron projection development [GO:0031175]; non-canonical Wnt signaling pathway via JNK cascade [GO:0038031]; osteoblast differentiation [GO:0001649]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; regulation of MAPK cascade [GO:0043408]; skeletal muscle hypertrophy [GO:0014734]; visual perception [GO:0007601]	GO:0001649; GO:0001953; GO:0001968; GO:0005109; GO:0005578; GO:0005615; GO:0005741; GO:0005743; GO:0005758; GO:0005783; GO:0005791; GO:0005794; GO:0005929; GO:0007601; GO:0014068; GO:0014734; GO:0022011; GO:0030335; GO:0030971; GO:0031012; GO:0031175; GO:0031410; GO:0032027; GO:0033268; GO:0035024; GO:0038031; GO:0038133; GO:0043408; GO:0045162; GO:0046872; GO:0051496; GO:0051497; GO:0051894; GO:0051897; GO:0051901; GO:0060348; GO:0070062; GO:1900026
